Model,Model_Family,Scenario,Scenario_Category,Region,Variable,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2110,2130,2150
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Biomass|w/o CCS,,,,240.3774,151.5296,151.5296,151.5296,151.5296,151.5296,151.5296,151.5296,151.5296,151.5296,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Coal|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,166.76209999999998,167.8774,167.1811,164.2771,164.0442,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Coal|w/o CCS,,,,82.9567,152.3102,153.4731,155.4751,159.05169999999998,166.76209999999998,167.8774,167.1811,164.5051,164.3734,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Gas|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,56.4708,56.4708,56.4708,56.4708,56.4708,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Gas|w/o CCS,,,,66.7359,56.4708,56.4708,56.4708,56.4708,56.4708,56.4708,56.4708,56.4708,56.4708,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Geothermal,,,,18.9299,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Hydro,,,,63.973,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Nuclear,,,,105.9904,380.7755,373.6737,368.4083,371.6968,384.278,382.2859000000001,376.15719999999993,365.1595,360.18370000000004,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Solar|PV,,,,163.1115,177.7877,127.7553,80.4502,68.6034,57.481,53.99550000000001,50.4942,46.973,43.5341,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Wind|Onshore,,,,40.0881,145.0008,133.5396,123.0128,119.308,117.7456,117.6431,117.1914,115.7257,113.9943,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Population,,,,3472.0678000000003,3657.7622,3829.2151,3989.7215,4128.047,4241.4221,4331.399600000001,4397.2363000000005,4439.6039,4456.4647,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Price|Carbon,,,,0.0,0.0,0.0,0.0,17.2937056728628,58.15406182864221,77.2000150001507,96.49366404703302,106.49184038303198,119.911212836866,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Primary Energy|Coal,,,,59314.0,94144.40000000001,112965.8,120585.0,85940.59999999999,60229.19999999999,66112.3,79308.1,102597.09999999999,99925.6,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Primary Energy|Gas,,,,10792.5,17185.8,21060.4,23452.5,28991.6,27708.600000000002,27695.9,28118.4,28294.6,27900.300000000003,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Primary Energy|Nuclear,,,,919.9000000000001,1026.6000000000001,1435.5,2288.5,3243.7,4026.7999999999997,4722.799999999999,5406.2,6039.7,6621.599999999999,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Primary Energy|Oil,,,,33035.8,41549.3,48973.100000000006,55501.0,61919.8,57708.3,56375.3,55660.600000000006,54682.50000000001,53344.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Primary Energy|Solar,,,,0.6,10.6,217.1,781.6999999999999,1867.6,3865.3,4753.0,5364.6,5353.2,5572.699999999999,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Primary Energy|Wind,,,,28.7,229.3,794.4,2161.0,4915.8,10081.2,11682.0,12224.2,11354.0,11226.100000000002,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Yield|Cereal,,,,13.2921,14.1845,14.9883,15.7764,16.7269,17.8222,18.8275,19.9276,21.0101,22.074200000000005,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Biomass|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,19294.2255,19449.9627,19610.8018,19787.2573,19971.4741,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Biomass|w/o CCS,,,,4755.57,6823.8691,6823.8691,14147.0457,14147.0457,14147.0457,14147.0457,14147.0457,14147.0457,14147.0457,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Coal|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,10164.8565,10331.2821,10484.6138,10625.8783,10620.7636,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Coal|w/o CCS,,,,1978.525,7009.8608,7115.3469000000005,7164.7255000000005,7205.386,7236.0976,7242.8604,7236.166,7210.653899999999,7188.7772,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Gas|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,4025.3427,4135.1232,4249.6377,4372.824,4466.8279,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Gas|w/o CCS,,,,1408.4182,2318.0478000000003,2318.0478000000003,2318.0478000000003,2318.0478000000003,2318.0478000000003,2318.0478000000003,2318.0478000000003,2318.0478000000003,2318.0478000000003,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Geothermal,,,,961.9174,11423.8253,11423.8253,11423.8253,11423.8253,11423.8253,11423.8253,11423.8253,11423.8253,11423.8253,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Hydro,,,,1926.8534,34204.4938,34204.4938,34204.4938,34204.4938,34204.4938,34204.4938,34204.4938,34204.4938,34204.4938,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Nuclear,,,,3061.8935,16090.9672,15889.2737,15552.6263,15461.1087,15346.4621,15134.9106,14895.2363,14617.8312,14317.5806,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Solar|PV,,,,797.1799,9958.9472,7122.0472,4434.4386,3815.1652,3226.8804,2971.3203000000003,2721.9748,2478.6053,2241.0112,,,,,,,,,,,,,
