Model,Scenario,Ssp_family
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,2
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,2
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,2
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,2
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,2
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,2
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,2
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,2
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,2
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,2
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,2
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,2
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,2
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,2
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,2
AIM/CGE 2.0,SSP1-19,1
AIM/CGE 2.0,SSP1-26,1
AIM/CGE 2.0,SSP1-34,1
AIM/CGE 2.0,SSP1-45,1
AIM/CGE 2.0,SSP1-Baseline,1
AIM/CGE 2.0,SSP2-19,2
AIM/CGE 2.0,SSP2-26,2
AIM/CGE 2.0,SSP2-34,2
AIM/CGE 2.0,SSP2-45,2
AIM/CGE 2.0,SSP2-60,2
AIM/CGE 2.0,SSP2-Baseline,2
AIM/CGE 2.0,SSP3-34,3
AIM/CGE 2.0,SSP3-45,3
AIM/CGE 2.0,SSP3-60,3
AIM/CGE 2.0,SSP3-Baseline,3
AIM/CGE 2.0,SSP4-26,4
AIM/CGE 2.0,SSP4-34,4
AIM/CGE 2.0,SSP4-45,4
AIM/CGE 2.0,SSP4-Baseline,4
AIM/CGE 2.0,SSP5-26,5
AIM/CGE 2.0,SSP5-34,5
AIM/CGE 2.0,SSP5-45,5
AIM/CGE 2.0,SSP5-60,5
AIM/CGE 2.0,SSP5-Baseline,5
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,2
AIM/CGE 2.1,CD-LINKS_INDCi,2
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,2
AIM/CGE 2.1,CD-LINKS_NPi,2
