No.,Variable(All),Level,Category_template,Model type,Unit,Definition,Type,Basis for Classification
956,Lifetime|Electricity|Nuclear,3,Techno-economic,Energy system,years,"Lifetime of a new nuclear power plant. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Nuclear|2, ... Lifetime|Electricity|Nuclear|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",input,https://www.iamcdocumentation.eu/index.php/Model_inputs_-_GCAM
958,Lifetime|Electricity|Solar|PV,4,Techno-economic,Energy system,years,"Lifetime of a new PV unit. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Solar|PV|2, ... Lifetime|Electricity|Solar|PV|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",input,https://www.iamcdocumentation.eu/index.php/Model_inputs_-_GCAM
976,Lifetime|Hydrogen|Electricity,3,Techno-economic,Energy system,years,"Lifetime of a new hydrogen-by-electrolysis plant. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Hydrogen|Electricity|w/ CCS|2, ... Lifetime|Hydrogen|Electricity|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",input,https://www.iamcdocumentation.eu/index.php/Model_inputs_-_GCAM
996,OM Cost|Fixed|Electricity|Biomass|w/ CCS,5,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new biomass power plant with CCS. If more than one CCS biomass power technology is modelled, modellers should report fixed O&M costs  for each represented CCS biomass power technology by adding variables OM Cost|Fixed|Electricity|Biomass|w/ CCS|2, ... OM Cost|Fixed|Electricity|Biomass|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
997,OM Cost|Fixed|Electricity|Biomass|w/o CCS,5,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new biomass power plant w/o CCS. If more than one biomass power technology is modelled, modellers should report fixed O&M costs  for each represented biomass power technology by adding variables OM Cost|Fixed|Electricity|Biomass|w/o CCS|2, ... OM Cost|Fixed|Electricity|Biomass|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
998,OM Cost|Fixed|Electricity|Coal|w/ CCS,5,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new coal power plant with CCS. If more than one CCS coal power technology is modelled (e.g. subcritical PC with post-combustion capture, supercritical PC with post-combustion capture, supercritical PC with oxyfuel combustion and capture, IGCC with pre-combustion capture), modellers should report fixed O&M costs  for each represented CCS coal power technology by adding variables OM Cost|Fixed|Electricity|Coal|w/ CCS|2, ... OM Cost|Fixed|Electricity|Coal|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
999,OM Cost|Fixed|Electricity|Coal|w/o CCS,5,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report fixed O&M costs  for each represented coal power technology by adding variables OM Cost|Fixed|Electricity|Coal|w/o CCS|2, ... OM Cost|Fixed|Electricity|Coal|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
1000,OM Cost|Fixed|Electricity|Gas|w/ CCS,5,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new gas power plant with CCS. If more than one CCS gas power technology is modelled, modellers should report fixed O&M costs  for each represented CCS gas power technology by adding variables OM Cost|Fixed|Electricity|Gas|w/ CCS|2, ... OM Cost|Fixed|Electricity|Gas|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
1001,OM Cost|Fixed|Electricity|Gas|w/o CCS,5,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report fixed O&M costs  for each represented gas power technology by adding variables OM Cost|Fixed|Electricity|Gas|w/o CCS|2, ... OM Cost|Fixed|Electricity|Gas|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
1002,OM Cost|Fixed|Electricity|Geothermal,4,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new geothermal power plants. If more than one geothermal power plant technology is modelled (e.g., hydrothermal, hard dry rock), modellers should report fixed O&M costs  for each represented geothermal power technology by adding variables OM Cost|Fixed|Electricity|Geothermal|2, ... Capital|Cost|Electricity|Geothermal|N (with N = number of represented geothermal power technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
1003,OM Cost|Fixed|Electricity|Hydro,4,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new hydropower plant. If more than one hydropower technology is modelled, modellers should report fixed O&M costs  for each represented hydropower technology by adding variables OM Cost|Fixed|Electricity|Hydro|2, ... OM Cost|Fixed|Electricity|Hydro|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
1004,OM Cost|Fixed|Electricity|Nuclear,4,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new nuclear power plants. If more than one nuclear power plant technology is modelled (e.g., Gen II, III, IV; LWR, thermal reactors with other moderator materials, fast breeders), modellers should report fixed O&M costs  for each represented nuclear power technology by adding variables OM Cost|Fixed|Electricity|Nuclear|2, ... Capital|Cost|Electricity|Nuclear|N (with N = number of represented nuclear power technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
1005,OM Cost|Fixed|Electricity|Solar|CSP,5,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new concentrated solar power plant. If more than one CSP technology is modelled (e.g., parabolic trough, solar power tower), modellers should report fixed O&M costs  for each represented CSP technology by adding variables OM Cost|Fixed|Electricity|Solar|CSP|2, ... Capital|Cost|Electricity|Solar|CSP|N (with N = number of represented CSP technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
1006,OM Cost|Fixed|Electricity|Solar|PV,5,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new solar PV units. If more than one PV technology is modelled (e.g., centralized PV plant, distributed (rooftop) PV, crystalline SI PV, thin-film PV), modellers should report fixed O&M costs  for each represented PV technology by adding variables OM Cost|Fixed|Electricity|Solar|PV|2, ... Capital|Cost|Electricity|Solar|PV|N (with N = number of represented PV technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
1008,OM Cost|Fixed|Electricity|Wind|Offshore,5,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new offshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one offshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report fixed O&M costs  for each represented wind power technology by adding variables OM Cost|Fixed|Electricity|Wind|Offshore|2, ... Capital|Cost|Electricity|Wind|Offshore|N (with N = number of represented offshore wind power technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
1009,OM Cost|Fixed|Electricity|Wind|Onshore,5,Techno-economic,Energy system,US$2010/kW/yr,"Annual fixed operation & maintainance cost of a new onshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one onshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report fixed O&M costs  for each represented wind power technology by adding variables OM Cost|Fixed|Electricity|Wind|Onshore|2, ... Capital|Cost|Electricity|Wind|Onshore|N (with N = number of represented onshore wind power technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
1042,Population,1,SDG,Energy system,million,total population,input,"- https://www.nature.com/articles/s41558-021-01098-3
- https://jgcri.github.io/gcam-doc/index.html"
1066,Price|Agriculture|Non-Energy Crops and Livestock|Index,4,Economy,Energy system,Index (2010 = 1),weighted average price index of non-energy crops and livestock products,output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1071,Price|Carbon,2,Economy,Energy system,US$2010/t CO2,price of carbon (for regional aggregrates the weighted price of carbon by subregion should be used),input,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1084,Price|Primary Energy|Biomass,3,Economy,Energy system,US$2010/GJ,biomass producer price,output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1085,Price|Primary Energy|Coal,3,Economy,Energy system,US$2010/GJ,coal price at the primary level (i.e. the spot price at the global or regional market),output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1086,Price|Primary Energy|Gas,3,Economy,Energy system,US$2010/GJ,natural gas price at the primary level (i.e. the spot price at the global or regional market),output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1087,Price|Primary Energy|Oil,3,Economy,Energy system,US$2010/GJ,crude oil price at the primary level (i.e. the spot price at the global or regional market),output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1088,Price|Secondary Energy|Electricity,3,Economy,Energy system,US$2010/GJ,"electricity price at the secondary level, i.e. for large scale consumers (e.g. aluminum production).  Prices should include the effect of carbon prices.",output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1089,Price|Secondary Energy|Gases|Natural Gas,4,Economy,Energy system,US$2010/GJ,"natural gas price at the secondary level, i.e. for large scale consumers (e.g. gas power plant). Prices should include the effect of carbon prices.",output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1090,Price|Secondary Energy|Hydrogen,3,Economy,Energy system,US$2010/GJ,hydrogen price at the secondary level. Prices should include the effect of carbon prices,output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1091,Price|Secondary Energy|Liquids,3,Economy,Energy system,US$2010/GJ,"liquid fuel price at the secondary level, i.e. petrol, diesel, or weighted average",output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1092,Price|Secondary Energy|Liquids|Biomass,4,Economy,Energy system,US$2010/GJ,"biofuel price at the secondary level, i.e. for biofuel consumers",output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1093,Price|Secondary Energy|Liquids|Oil,4,Economy,Energy system,US$2010/GJ,"light fuel oil price at the secondary level, i.e. for large scale consumers (e.g. oil power plant). Prices should include the effect of carbon prices.",output,"-https://jgcri.github.io/gcam-doc/index.html
- https://pure.iiasa.ac.at/id/eprint/14503/1/Transportelasticities_secondsubm.pdf"
1333,Agricultural Demand,1,Land,Land,million t DM/yr,"total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)",output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1334,Agricultural Demand|Crops,2,Land,Land,million t DM/yr,"total demand for food, non-food and feed crops and bioenergy crops (1st & 2nd generation)",output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1335,Agricultural Demand|Crops|Energy,3,Land,Land,million t DM/yr,demand for modern primary energy crops (1st and 2nd generation),output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1336,Agricultural Demand|Crops|Energy|1st generation,4,Land,Land,million t DM/yr,Demand for modern primary 1st generation energy crops,output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1337,Agricultural Demand|Crops|Energy|2nd generation,4,Land,Land,million t DM/yr,Demand for modern primary 2nd generation energy crops,output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1338,Agricultural Demand|Crops|Feed,3,Land,Land,million t DM/yr,total demand for feed crops,output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1339,Agricultural Demand|Crops|Food,3,Land,Land,million t DM/yr,total demand for food crops,output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1340,Agricultural Demand|Crops|Other,3,Land,Land,million t DM/yr,total demand for other crops,output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1341,Agricultural Demand|Livestock,2,Land,Land,million t DM/yr,total demand for livestock,output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1342,Agricultural Demand|Livestock|Food,3,Land,Land,million t DM/yr,total demand for food livestock,output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1343,Agricultural Demand|Livestock|Other,3,Land,Land,million t DM/yr,total demand for other livestock,output,https://jgcri.github.io/gcam-doc/v5.3/aglu.html
1410,Food Demand,1,SDG,Land,kcal/cap/day,"all food demand in calories (conversion factor: 1 kcal = 4,1868 kJ)",output,https://jgcri.github.io/gcam-doc/inputs_demand.html
1411,Food Demand|Crops,2,SDG,Land,kcal/cap/day,crop related food demand in calories,output,https://jgcri.github.io/gcam-doc/inputs_demand.html
1412,Food Demand|Livestock,2,SDG,Land,kcal/cap/day,livestock related food demand in calories,output,https://jgcri.github.io/gcam-doc/inputs_demand.html
1436,Land Cover,1,Land cover,Land,million ha,total land cover,output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1437,Land Cover|Built-up Area,2,Land cover,Land,million ha,total built-up land associated with human settlement,output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1438,Land Cover|Cropland,2,Land cover,Land,million ha,"total arable land, i.e. land in non-forest bioenergy crop, food, and feed/fodder crops, as well as other arable land (cultivated area)",output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1439,Land Cover|Cropland|Cereals,3,Land cover,Land,million ha,"land dedicated to cereal crops: wheat, rice and coarse grains (maize, corn, millet, sorghum, barley, oats, rye)",output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1441,Land Cover|Cropland|Energy Crops,3,Land cover,Land,million ha,land dedicated to both 1st & 2nd generation energy crops,output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1444,Land Cover|Cropland|Irrigated,3,Land cover,Land,million ha,"irrigated arable land, i.e. land in non-forest bioenergy crop, food, and feed/fodder crops, as well as other arable land (cultivated area)",output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1448,Land Cover|Forest,2,Land cover,Land,million ha,managed and unmanaged forest area,output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1449,Land Cover|Forest|Afforestation and Reforestation,3,Land cover,Land,million ha,area with afforestation and reforestation,output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1451,Land Cover|Forest|Managed,3,Land cover,Land,million ha,"managed forests producing commercial wood supply for timber or energy (note: woody energy crops reported under ""energy crops"")",output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1452,Land Cover|Forest|Natural Forest,3,Land cover,Land,million ha,"undisturbed natural forests, modified natural forests",output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1456,Land Cover|Other Land,2,Land cover,Land,million ha,"other land cover that does not fit into any other category (e.g., rock, ice, desert, water, please provide a definition of the sources in this category in the 'comments' tab)",output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1457,Land Cover|Pasture,2,Land cover,Land,million ha,"pasture land. All categories of pasture land - not only high quality rangeland. Based on FAO definition of ""permanent meadows and pastures""",output,"land 모형에서는 출력변수이지만, 에너지 모형에서는 demand 개념으로도 사용됨"
1,Capacity Additions|Electricity|Biomass,3,Energy,Energy system,GW/yr,Capacity additions of all biomass power plants (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
2,Capacity Additions|Electricity|Biomass|w/ CCS,4,Energy,Energy system,GW/yr,Capacity additions of biomass power plants with CCS (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
3,Capacity Additions|Electricity|Biomass|w/o CCS,4,Energy,Energy system,GW/yr,Capacity additions of biomass power plants without CCS (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
4,Capacity Additions|Electricity|Coal,3,Energy,Energy system,GW/yr,Capacity additions of all coal power plants (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
5,Capacity Additions|Electricity|Coal|w/ CCS,4,Energy,Energy system,GW/yr,Capacity additions of coal power plants with CCS (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
6,Capacity Additions|Electricity|Coal|w/o CCS,4,Energy,Energy system,GW/yr,Capacity additions of coal power plants without CCS (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
8,Capacity Additions|Electricity|Gas,3,Energy,Energy system,GW/yr,Capacity additions of all gas power plants (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
9,Capacity Additions|Electricity|Gas|w/ CCS,4,Energy,Energy system,GW/yr,Capacity additions of gas power plants with CCS (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
10,Capacity Additions|Electricity|Gas|w/o CCS,4,Energy,Energy system,GW/yr,Capacity additions of gas power plants without CCS (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
12,Capacity Additions|Electricity|Hydro,3,Energy,Energy system,GW/yr,Capacity additions of hydropower plants (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
14,Capacity Additions|Electricity|Nuclear,3,Energy,Energy system,GW/yr,Capacity additions of nuclear power plants (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
19,Capacity Additions|Electricity|Solar,3,Energy,Energy system,GW/yr,Capacity additions of solar power plants (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
20,Capacity Additions|Electricity|Solar|CSP,4,Energy,Energy system,GW/yr,Capacity additions of concentrated solar power plants (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
21,Capacity Additions|Electricity|Solar|PV,4,Energy,Energy system,GW/yr,Capacity additions of solar PV (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
23,Capacity Additions|Electricity|Wind,3,Energy,Energy system,GW/yr,Capacity additions of wind power plants (onshore and offshore) (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
24,Capacity Additions|Electricity|Wind|Offshore,4,Energy,Energy system,GW/yr,Capacity additions of wind power plants (ooffshore) (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
25,Capacity Additions|Electricity|Wind|Onshore,4,Energy,Energy system,GW/yr,Capacity additions of wind power plants (onshore) (yearly average additions between previos and current model time step) ,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
26,Capacity|Electricity,2,Energy,Energy system,GW,total installed electricity generation capacity,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
27,Capacity|Electricity|Biomass,3,Energy,Energy system,GW,total installed electricity generation capacity of biomass power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
28,Capacity|Electricity|Biomass|w/ CCS,4,Energy,Energy system,GW,"Total installed (available) capacity of biomass power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/ CCS|1, ..., Capacity|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
29,Capacity|Electricity|Biomass|w/o CCS,4,Energy,Energy system,GW,"Total installed (available) capacity of biomass power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/o CCS|1, ..., Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
30,Capacity|Electricity|Coal,3,Energy,Energy system,GW,total installed electricity generation capacity of coal power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
31,Capacity|Electricity|Coal|w/ CCS,4,Energy,Energy system,GW,"Total installed (available) capacity of coal power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/ CCS|1, ..., Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
