No.,Variable(All),Level,Category_template,Model type,Unit,Definition,Type,Basis for Classification
257,Efficiency|Electricity|Gas|w/ CCS,4,Techno-economic,Energy system,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new gas power plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Gas|w/ CCS|2, ... Efficiency|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",input,https://docs.messageix.org/en/stable/efficiency.html
258,Efficiency|Electricity|Gas|w/o CCS,4,Techno-economic,Energy system,%,"Conversion efficiency (electricity produced per unit of primary energy input) of a new gas power plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Gas|w/o CCS|2, ... Efficiency|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",input,https://docs.messageix.org/en/stable/efficiency.html
557,Energy Service|Transportation|Freight,3,Energy,Energy system,bn tkm/yr,annual demand for energy services related to freight transportation,output,https://jgcri.github.io/gcam-doc/inputs_demand.html
565,Energy Service|Transportation|Passenger,3,Energy,Energy system,bn pkm/yr,annual demand for energy services related to passenger transportation,output,https://jgcri.github.io/gcam-doc/inputs_demand.html
868,GDP|MER,2,Economy,Energy system,billion US$2010/yr,GDP at market exchange rate,input,https://jgcri.github.io/gcam-doc/demand_energy.html
869,GDP|PPP,2,Economy,Energy system,billion Int$2010/yr,GDP at purchasing power parity,input,https://jgcri.github.io/gcam-doc/demand_energy.html
885,Investment,1,Investment,Energy system,billion US$2010/yr,"Total economy wide investments (macroecomic capital stock, energy system, R&D, ...) ",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
897,Investment|Energy Supply,2,Investment,Energy system,billion US$2010/yr,investments into the energy supply system,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
898,Investment|Energy Supply|CO2 Transport and Storage,3,Investment,Energy system,billion US$2010/yr,investment in CO2 transport and storage (note that investment in the capturing equipment should be included along with the power plant technology),output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
899,Investment|Energy Supply|Electricity,3,Investment,Energy system,billion US$2010/yr,investments into electricity generation and supply (including electricity storage and transmission & distribution),output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
900,Investment|Energy Supply|Electricity|Biomass,4,Investment,Energy system,billion US$2010/yr,바이오매스를 이용한 전기공급에 대한 투자,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
901,Investment|Energy Supply|Electricity|Biomass|w/ CCS,5,Investment,Energy system,billion US$2010/yr,바이오매스를 이용한 전기공급에 대한 투자(ccs 기술을 적용한),output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
902,Investment|Energy Supply|Electricity|Biomass|w/o CCS,5,Investment,Energy system,billion US$2010/yr,바이오매스를 이용한 전기공급에 대한 투자(ccs 기술을 적용하지 않은),output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
